date|test_sponsor_name|test_sponsor_url|software_name|software_version|software_url|specification_version|specification_url|driver_version|driver_url|full_disclosure_report|executive_summary|signatures|supplementary_package|query_implementation|scale_factor|power_at_sf|power_at_sf_price_adjusted|throughput_at_sf|throughput_at_sf_price_adjusted|price|currency|hardware
2024-10-10|TigerGraph|https://tigergraph.com/|TigerGraph|3.7.0|https://docs.tigergraph.com/tigergraph-server/3.7|2.2.2|https://arxiv.org/pdf/2001.02299v9.pdf|1.0.3|https://github.com/ldbc/ldbc_snb_bi/releases/tag/v1.0.3|LDBC_SNB_BI_20241010_SF1000_tigergraph.pdf|LDBC_SNB_BI_20241010_SF1000_tigergraph-executive_summary.pdf|LDBC_SNB_BI_20241010_SF1000_tigergraph-signatures.pdf|https://pub-383410a98aef4cb686f0c7601eddd25f.r2.dev/audits/LDBC_SNB_BI_20241010_SF1000_tigergraph-attachments.tar.gz|GSQL|1000|34949.74|24.99|15089.13|10.79|1398469.32|USD|Dell PowerEdge R7725 with 64×AMD EPYC 9355 CPU cores and 1.5TiB RAM
2023-12-03|TuGraph, Ant Yunchuang Digital Technology (Beijing) Co., Ltd.|https://www.tugraph.org/|TuGraph|0.9|https://www.tugraph.org/|2.2.2|https://arxiv.org/pdf/2001.02299v9.pdf|1.0.3|https://github.com/ldbc/ldbc_snb_bi/releases/tag/v1.0.3|LDBC_SNB_BI_20231203_SF30000_tugraph.pdf|LDBC_SNB_BI_20231203_SF30000_tugraph-executive_summary.pdf|LDBC_SNB_BI_20231203_SF30000_tugraph-signatures.pdf|https://pub-383410a98aef4cb686f0c7601eddd25f.r2.dev/audits/LDBC_SNB_BI_20231203_SF30000_tugraph-attachments.tar.gz|Gremlin|30000|111775.39|19.79|56920.48|10.08|5649500|USD|72 Alibaba Cloud ecs.r7.16xlarge instances: 64×Intel Xeon Platinum 8369B vCPUs,  512 GiB RAM per instance
2023-04-06|TigerGraph|https://tigergraph.com/|TigerGraph|3.7.0|https://docs.tigergraph.com/tigergraph-server/3.7|2.2.0|https://arxiv.org/pdf/2001.02299v7.pdf|1.0.3|https://github.com/ldbc/ldbc_snb_bi/releases/tag/v1.0.3|LDBC_SNB_BI_20230406_SF100_tigergraph.pdf|LDBC_SNB_BI_20230406_SF100_tigergraph-executive_summary.pdf|LDBC_SNB_BI_20230406_SF100_SF1000_SF10000_tigergraph-signatures.pdf|https://pub-383410a98aef4cb686f0c7601eddd25f.r2.dev/audits/LDBC_SNB_BI_20230406_SF100_SF1000_SF10000_tigergraph-attachments.tar.gz|GSQL|100|6253.72|43.79|3723.44|26.07|142815|USD|1 AWS r6a.4xlarge instance: 16×AMD EPYC 7R13 vCPUs, 128GiB RAM
2023-04-06|TigerGraph|https://tigergraph.com/|TigerGraph|3.7.0|https://docs.tigergraph.com/tigergraph-server/3.7|2.2.0|https://arxiv.org/pdf/2001.02299v7.pdf|1.0.3|https://github.com/ldbc/ldbc_snb_bi/releases/tag/v1.0.3|LDBC_SNB_BI_20230406_SF1000_tigergraph.pdf|LDBC_SNB_BI_20230406_SF1000_tigergraph-executive_summary.pdf|LDBC_SNB_BI_20230406_SF100_SF1000_SF10000_tigergraph-signatures.pdf|https://pub-383410a98aef4cb686f0c7601eddd25f.r2.dev/audits/LDBC_SNB_BI_20230406_SF100_SF1000_SF10000_tigergraph-attachments.tar.gz|GSQL|1000|23951.74|18.39|10605.12|8.14|1302174|USD|4 AWS r6a.8xlarge instances: 32×AMD EPYC 7R13 vCPUs, 256GiB RAM per instance
2023-04-06|TigerGraph|https://tigergraph.com/|TigerGraph|3.7.0|https://docs.tigergraph.com/tigergraph-server/3.7|2.2.0|https://arxiv.org/pdf/2001.02299v7.pdf|1.0.3|https://github.com/ldbc/ldbc_snb_bi/releases/tag/v1.0.3|LDBC_SNB_BI_20230406_SF10000_tigergraph.pdf|LDBC_SNB_BI_20230406_SF10000_tigergraph-executive_summary.pdf|LDBC_SNB_BI_20230406_SF100_SF1000_SF10000_tigergraph-signatures.pdf|https://pub-383410a98aef4cb686f0c7601eddd25f.r2.dev/audits/LDBC_SNB_BI_20230406_SF100_SF1000_SF10000_tigergraph-attachments.tar.gz|GSQL|10000|89444.50|11.36|41025.76|5.21|7871354|USD|48 AWS r6a.8xlarge instances: 32×AMD EPYC 7R13 vCPUs, 256GiB RAM per instance
2022-11-09|TigerGraph|https://tigergraph.com/|TigerGraph|3.7.0|https://docs.tigergraph.com/tigergraph-server/3.7|2.2.0|https://arxiv.org/pdf/2001.02299v7.pdf|1.0.2|https://github.com/ldbc/ldbc_snb_bi/releases/tag/v1.0.2|LDBC_SNB_BI_20221109_SF1000_tigergraph.pdf|LDBC_SNB_BI_20221109_SF1000_tigergraph-executive_summary.pdf|LDBC_SNB_BI_20221109_SF1000_tigergraph-signatures.pdf|https://pub-383410a98aef4cb686f0c7601eddd25f.r2.dev/audits/LDBC_SNB_BI_20221109_SF1000_tigergraph-attachments.tar.gz|GSQL|1000|30990.08|22.90|12993.85|9.60|1353315|USD|Dell PowerEdge 6625 with 64×AMD EPYC 9354 CPU cores and 1.5TiB RAM
